Handle,Title,Body (HTML),Vendor,Product Category,Type,Tag,Published,Option1 Name,Option1 Value,Option 2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Include / Japan,Include / International,Price / International,Compare At Price / International,Status
camicia-manica-lunga-only-&-sons-gudmund-ls-checked-shirt-noos-grigio | 22007112,,,,,,,,,48,,Grigio,,0,,1,deny,manual,"€34,99",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/camicia-maniche-lunghe-only-sons-grigio-gudmund-checked-shirt-noos-22007112-1637567926-1-150x150.jpeg,5,camicia-manica-lunga-only-&-sons-gudmund-ls-checked-shirt-noos-grigio,,,,,,,,,,,,,,,,,,,,,,,
camicia-manica-lunga-only-&-sons-gudmund-ls-checked-shirt-noos-grigio | 22007112,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/camicia-maniche-lunghe-only-sons-grigio-gudmund-checked-shirt-noos-22007112-1637567926-2-150x150.jpeg,6,camicia-manica-lunga-only-&-sons-gudmund-ls-checked-shirt-noos-grigio,,,,,,,,,,,,,,,,,,,,,,,
camicia-manica-lunga-only-&-sons-gudmund-ls-checked-shirt-noos-grigio | 22007112,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/camicia-maniche-lunghe-only-sons-grigio-gudmund-checked-shirt-noos-22007112-1637567935-3-150x150.jpeg,7,camicia-manica-lunga-only-&-sons-gudmund-ls-checked-shirt-noos-grigio,,,,,,,,,,,,,,,,,,,,,,,
camicia-manica-lunga-only-&-sons-gudmund-ls-checked-shirt-noos-grigio | 22007112,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/camicia-maniche-lunghe-only-sons-grigio-gudmund-checked-shirt-noos-22007112-1637567935-4-150x150.jpeg,8,camicia-manica-lunga-only-&-sons-gudmund-ls-checked-shirt-noos-grigio,,,,,,,,,,,,,,,,,,,,,,,
slip-calvin-klein-underwear-3-hip-brief-rosso | U2661G,Slip Calvin Klein Underwear 3 Hip Brief Rosso,<p><strong>Modello: </strong>3 Hip Brief</p><p><strong>Codice Articolo Calvin Klein Underwear: </strong>U2661G</p><p><strong>Composizione:</strong> 95% COTTON – 5% STRETCH</p>,Calvin Klein,,Slip Uomo,male,False,Size,52,Color,Rosso,U2661G-Rosso,0,shopify,1,deny,manual,"€44,90",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/slip-calvin-klein-underwear-rosso-slip-uomo-calvin-klein-underwear-3-hip-brief-u2661g-vita-bassa-intimo-nuovo-1652702383-8.jpeg,1,slip-calvin-klein-underwear-3-hip-brief-rosso,False,,,,,,,,,,,,,,,kg,,,True,True,,,active
slip-calvin-klein-underwear-3-hip-brief-rosso | U2661G,,,,,,,,,46,,Rosso,,0,,1,deny,manual,"€44,90",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/slip-calvin-klein-underwear-rosso-slip-uomo-calvin-klein-underwear-3-hip-brief-u2661g-vita-bassa-intimo-nuovo-1652702439-7-1000x1250.jpeg,2,slip-calvin-klein-underwear-3-hip-brief-rosso,,,,,,,,,,,,,,,,,,,,,,,
slip-calvin-klein-underwear-3-hip-brief-rosso | U2661G,,,,,,,,,50,,Rosso,,0,,1,deny,manual,"€44,90",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/slip-calvin-klein-underwear-rosso-slip-uomo-calvin-klein-underwear-3-hip-brief-u2661g-vita-bassa-intimo-nuovo-1652702439-8-1000x1250.jpeg,3,slip-calvin-klein-underwear-3-hip-brief-rosso,,,,,,,,,,,,,,,,,,,,,,,
slip-calvin-klein-underwear-3-hip-brief-rosso | U2661G,,,,,,,,,48,,Rosso,,0,,1,deny,manual,"€44,90",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/slip-calvin-klein-underwear-rosso-slip-uomo-calvin-klein-underwear-3-hip-brief-u2661g-vita-bassa-intimo-nuovo-3.jpeg,4,slip-calvin-klein-underwear-3-hip-brief-rosso,,,,,,,,,,,,,,,,,,,,,,,
slip-calvin-klein-underwear-3-hip-brief-rosso | U2661G,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/slip-calvin-klein-underwear-rosso-slip-uomo-calvin-klein-underwear-3-hip-brief-u2661g-vita-bassa-intimo-nuovo-6.jpeg,5,slip-calvin-klein-underwear-3-hip-brief-rosso,,,,,,,,,,,,,,,,,,,,,,,
slip-calvin-klein-underwear-3-hip-brief-rosso | U2661G,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/slip-calvin-klein-underwear-rosso-slip-uomo-calvin-klein-underwear-3-hip-brief-u2661g-vita-bassa-intimo-nuovo-1652702383-8-150x150.jpeg,6,slip-calvin-klein-underwear-3-hip-brief-rosso,,,,,,,,,,,,,,,,,,,,,,,
